id,Questions,Answers
0,А можно как то получить тестовый доступ в Мой налог?,@mishamx Михаил - организатор. Поможет с ответом (в рабочее время)
1,Добрый день. Результатом хакатона должен быть прототип ?(фигма хд) или mvp продукта ?,Фигма это не прототип
2,А что там за тест надо пройти при регистрации? На какую он тему?,"Там нет теста, отборочное задание - описать идею проекта, который вы планируете реализовать"
3,"может быть такое, что мы подаемся командой, и кто-то пройдет, а кто-то нет? @aleksandr_malyshev","Мы отбираем команду, по-этому все члены команды получат приглашение"
4,Вопрос по хакатону - каков минимальный возраст участника?,Ограничений нет 🥳
5,https://www.youtube.com/watch?v=IlzsVBR64NA,"кто-то уже посмотрел, как вам?"
6,"кто-то уже посмотрел, как вам?","Для запуска продуктов самое оно,  но на хакатоне все таки решения более технически сложными должны быть. Хотя это как оценивать техническую часть"
7,"Ты же знаешь, что недавно один топ3 фастфуд искал по рынку приложение с функционалом Lazy Daily?",А поподробнее
8,"Здравствуйте, участие с 18?",Ограничений на возраст нет
9,Может из-за выплаты призов?,"Ага, чисто из-за этого"
10,А вы как студия работаете?,Да
11,"Кстати, а можно несколько идей отослать?","Да, можно"
12,"Есть идея, но нет возможности ее воплотить. Так как нет навыков, есть кто выслушает? Может, что подскажет!",Жги в лс
13,"Админы, подскажите пожалуйста, в чате есть представители ФНС и Wallet One?","Да, есть. Какой у вас вопрос?"
14,А как получить доступ к API / описание или они будут только в дни хакатона? Интересует p2p  и защищенная сделка,"Будем выдавать ключи доступа индивидуально по запросу ближе к хакатону, то что есть на данный момент по описанию АПИ скинули выше"
15,А будут ли какие-нибудь интересные апишки предоставлены участникам хакатона?,"Так точноУже оформили в таком виде: • Для самозанятых • API системы платформы платежей X-Plat • API P2PБлиже к хаку постараемся упаковать в постман, чтобы было удобнее"
16,Тестовые данные для входа можно получить?,Выдадим ближе к хакатону
17,Спасибо. Есть ли возможность через апи делать переводы денег внутри Wallet One и вывод денег? Интересует ответ на вопрос в двух ,"Для хакатона мы предоставляем следующие апи: выплаты через агентский протокол xs2 и функционал р2р переводов (сделка) через, соответственно, апи р2р."
18,Карантин: пилить пет-проджекты или лежать на диване?  Написали материал на Хабре как и зачем Wallet One проводят хакатон по само,Аппрувьте вопросы к ФНС под статьёй плиз
19,Кассовые аппараты или POS терминалы?,"POS-терминал для самозанятых? Не предусматривается законодательством, насколько понимаю. Какой кейс?"
20,"POS-терминал для самозанятых? Не предусматривается законодательством, насколько понимаю. Какой кейс?","Не знаю, была речь о терминалах самообслуживания"
21,"Ребята, а как добавить людей в команду после регистрации?","им нужно вписать то же имя команды, что и у тебя"
22,"#whois  1) 1С (не увидела тут никого подобного, буду первой?) 2) Принять участие в онлайн-хакатоне; реализовать проект, который ",1С? Сильно!
23,1С? Сильно!,JS? Сильно! 🤷‍♀
24,"Всем привет, хотел уточнить, регистрация открыта до 14.04  23-59 по МСК так?",Так точно
25,А отбор идёт по каким критериям?,отбор идей субъективен; в качестве направления можно взять критерии оценки и посмотреть:1) насколько ваша команда может технически реализовать прототип и продукт2) насколько проработана идея3) насколько актуальна идея в обозримом будущем4) насколько оригинальна идея5) насколько хорошо вы описали вашу идею
26,"А как можно оценить насколько мы можем реализовать? Это уже на самом хакатоне видно будет только, сейчас мы можем её только опис","две командыA = одна 10 лет опыта iOS и делают мобилкуB = вторая 0.5 года опыта веб и решили сделать мобилкуинтерполируем, умножаем на собственную субьективность и примерно становится ясно как оценить"
27,"@aleksandr_malyshev, а кто будет аппрувить заявки отдельно участников?",самозанятые 🦹‍♀️
28,Скажете какой конкурс на место?,"когда все подадут, да"
29,"И ещё, каков шанс пройти отбор одиночному кодеру?","Да и идею не поздно описать, здесь куча людей ищущих команду"
30,"И ещё, а если взять идею из списка, какой шанс?",главное хорошо описать ее
31,И щас ещё участника не поздно зарегать?,не поздно
32,"Окей, а несколько идей возможно?","Да, но, пожалуй, это нежелательно"
33,"Best, не нашел твоего хуизa. Чем занимаешься?)","Я Хэш, у меня спамблок"
34,Какой пол лучше? Мужской или женский?,реакт нейтив
35,А это?,Это в контексте хакатона
36,А какой выхлоп?) его и без хакатона можно пилить,Его будет потенциальная возможность продемонстрировать и пропитчить насколько я помню
37,"Кстати, такой нескромный вопрос, а что по призам?",так на сайте все есть 🙂
38,Спамблок? Я из деревни и не шарю,"Иногда, телега может блокировать тебе аккаунт,и не давать писать в публичных чатах"
39,На что час убил?),на мою игру
40,"Блин, сейчас посмотрел как выглядит презентация в drive'е (вовремя) и увидел, что шрифты слетели. Что можно сделать с этим ? (от",
41,На контенте презы?,"ну да. здесь проверяем идею, mvp — на хаке"
42,"Хмм, а там такое было?",Было
43,Ты на что то намекаешь?),"Ты давай тут не возникай, тебе ещё нам бекенд фигачить)"
44,Нашу презентацию уже проверяли?,"Нет точных данных.у нас работает группа из независимых менторов, каждую презентацию несколько разных человек проверяют и пишут фидбек + оценки"
45,может стрим запилить завтра с проверкой през?,топ
46,"Не будет ли такого, что будут оценивать прежде всего презу, а не сам проект?",Ищем крутые проекты
47,"Это же слив идей, или нет?","Идеи в воздухе и так летают, важнее исполнение и команда"
48,а когда на хакатоне команды представятся и представят свои идеи это будет собственноручный слив идей?),"Это уже идея на этапе реализации, то есть в момент соревнования никто о твоей идее не знает"
49,может еще минут 30 стрима?,Было бы неплохо
50,http://www.youtube.com/watch?v=6Jyek_1CIJI,А можете открыть доступ по ссылке? Хочется посмотреть разбор и принять на вооружение комментарии
51,Привет всем. результаты сегодня будут или не успеваете рассмотреть идеи?,Результаты будут сегодня
52,"еще вопрос, возможно я повторюсь за кем то, состав можно будет изменить? Если например кто то не может по каким то причинам и до",Такие вопрос обсудим индивидуально :+1:
53,какого черта?!,35 место
54,"Первым*, зарелизившим проект** – 100к   - это номинация относится к тем кто не попал в топ 20?",На спец. призы претендуют все команды из списка
55,Вторая волна инвайтов?,"Да, если кто-то из команд откажется"
56,"как вы узнаете о том, что команда провела работу над ошибками? Нужно повторно прислать презентацию?",Любым удобным вам способом
57,Мы прошли. Вопрос: Можем ли мы пригласить к себе участников непрошедших команд?,"Можете; не гарантируем что мерча/промокодов хватит на новых членов команды;Если делаете замену члена команды, то все ок"
58,"Вопрос такой. 1. Почему есть в полях оценок пустые поля? Серьезно,оценка эксперта - не обязательна?","Если ментор оценил >20 команд, то это его личная инициатива"
59,"Я так понимаю, что ты больше всех оценил?","Я оценил все проекты, где было подробное описание и все, где было понятно о чем проект из краткого описания"
60,Кто-нибудь бухает?,Когда в СПб?))
61,Когда в СПб?)),У меня вообще крутой план на после карантина. Прилететь в СПБ к вам конечно в приоритете)
62,Вы прошли?,"Мы прямо за вами, лол))0)"
63,"Добрый день, в какой форме нужно подтвердить участие сегодня?",на https://smzhack.ru/ в своем аккаунте
64,Пришли стикеры?,
65,Второй волны отбора команд не будет?,Все команды из топ 20 подтвердили участие
66,"Отлично! А pivotится можно? И что нужно людям чтобы стать самозанятыми, чтобы их данные обрабатывать через апи ФНС-а?",пивотиться — становиться самозанятым и обратно?
67,Когда будет расписание ?,на сайте smzhack
68,"Предположим, у нас есть самозанятый.  Что ему нужно чтобы с его акком взаимодействовать через API?",Чтобы самозанятый мог использовать ваши приложения и сервисы ему нужно будет только указать в них свой ИНН и подтвердить это в ЛК НПД
69,НПД?,Налог на Профессиональный Доход
70,пивотиться — становиться самозанятым и обратно?,Менять идею проекта
71,у меня вопрос: как нам проводить тесты на обычных людях? будут ли даны какие-то тестовые учетки для регистрации человека как сам,Должны дать тестовые
72,"Вопрос такой, пилить можно начинать с 00:00?) Или с 10 утра?",Актуальный вопрос
73,А разве сейчас ещё можно искать команду?,в теории – да
74,С сегодняшних 00:00?,"По сути можете начинать пилить уже сейчас, главное, чтобы вы показали трекшн менторам и прошли чек-поинты – при этом будем фиксировать прогресс – например, если вы захотите сделать функцию к уже имеющемуся у вас проекту, то будет оцениваться только она."
75,Что значит вне команды?,"Не попал в топ 20 со своей командой, а мест в топе в командах уже нету, приходится делать вне основного потока"
76,Какие именно этапы?,
77,https://documenter.getpostman.com/view/11061357/Szf82TeQ?version=latest#4e7875f3-eb6b-43e3-aafc-b6c6d61e27ef,"Огонь, спасибо"
78,Есть линк на постман?,"Soap ui юзай ,удобнее для работы с апи ФНС"
79,"Кому тут писать про промокод для доставки? А то я в области Московской и Яндекс ко мне не едет, но есть свои приложеньки доставк",а про это ответите?)
80,Записи где будут?,https://www.youtube.com/channel/UCFkGB60QMjBepeO7grDcdUw/featured
81,а про это ответите?),Мы создали отдельный аккаунт по всем вопросам по еде - @SMZHackFood
82,Нам же не нужно бронировать менторов на нулевой чекпоинт?,только если вам есть что обсудить с ним
83,А данные будут проверяться на реальность? =),эта проверка включена в тестовом контуре
84,то есть когда поднимется фнс можно будет получить тестовые данные без отправки персональных?),нет)
85,"но мы же и так и по сути можем их получить и в наших проектах будет поиск по инн, а значит и вся перс инфа, не? при чем люди сам",откуда у вас поиск по ИНН?
86,в какой степени( функции) нужно использовать API ФНС для выполнения требований и является ли это обязательным?,"Коллеги, тут вопрос легальности, если вы на площадке организуете приём и перевод средств, а он будет юредически не обоснован (не законен), то боюсь у вас будет меньше шансов на победу)"
87,Что посоветуете попробовать на Яндекс Еде? =),Пиццу
88,какой рестик?,"От региона зависит, но я в Додо беру или Папа Джонс"
89,Актуальная ссылка на ютуб https://www.youtube.com/watch?v=oe_ZI7h-Ytk,а где-то доступны записи семинаров?
90,а где-то доступны записи семинаров?,https://www.youtube.com/channel/UCFkGB60QMjBepeO7grDcdUw
91,"Подскажите пжл, а мы можем проводить демо через дискорд? нам необходимо застримить 2 экрана с мобильных и презентацию. Команда Д","через Zoom точно можно транслировать экран мобильного, но не знаю насчёт нескольких экранов одновременно. 3 пользователя с этим справятся"
92,"Вопрос: ничего страшного, что мы всей командой пропустили инфу про вечерний чекин и, собственно, не зачекинились?)",Все ок
93,"SMZHack: Экватор, общий конференц колл :calendar:Когда? Прямо сейчас • Описание: Организаторы SMZHack ответят на накопившиеся вопросы, а",Если кто-то ещё может подключиться - присоединяйтесь! Екатерина рассказывает очень полезную информацию о монетизации налоговых сервисов! Крайне полезно
94,"Барный формат Show and Tell  :calendar:Когда? Прямо сейчас  • Описание:  каждый из участников должен показать что-то, без чего он не мож",https://www.youtube.com/watch?v=ObeUTSOyIQg
95,айди платформы не видит?,
96,какой эндпоинт?,https://ktir.smz.w1.money/api/token/
